Timestamp(ms E-10)	acc_X	acc_Y	acc_Z	
4185351	-0.539476	0.18822	9.59296
4185361	-0.554089	0.197847	9.59662
4185371	-0.622629	0.241343	9.62006
4185381	-0.641209	0.234084	9.52387
4185391	-0.628173	0.216006	9.3774
4185401	-0.600011	0.18771	9.38931
4185411	-0.568945	0.176786	9.52005
4185421	-0.427706	0.270827	9.64985
4185431	-0.531787	0.208161	9.62626
4185441	-0.687129	0.120597	9.74796
4185451	-0.627141	0.171576	9.87407
4185461	-0.628213	0.212754	9.80626
4185471	-0.653968	0.189728	9.83868
4185481	-0.701763	0.165799	9.83648
4185491	-0.744523	0.170356	9.82908
4185501	-0.753812	0.155915	9.82413
4185511	-0.761522	0.183639	9.78962
4185521	-0.767632	0.201097	9.72689
4185531	-0.752227	0.200639	9.70875
4185541	-0.70231	0.221032	9.75881
4185551	-0.616817	0.257025	9.85822
4185561	-0.64526	0.301954	9.9364
4185571	-0.626146	0.304201	10.0232
4185581	-0.544341	0.289822	10.0189
4185591	-0.582044	0.287291	9.92143
4185601	-0.550179	0.314481	9.86545
4185611	-0.0371237	0.465101	9.7775
4185621	0.36238	0.307384	9.75739
4185631	-0.040369	0.00247383	9.59372
4185641	-0.48055	0.230154	9.73829
4185651	-0.558962	0.344904	9.93562
4185661	-0.638593	0.222286	9.99122
4185671	-0.78677	0.157465	10.0699
4185681	-0.937354	0.165588	10.0179
4185691	-0.915863	0.188012	10.1473
4185701	-0.779853	0.115807	10.119
4185711	-0.623409	0.133941	9.89431
4185721	-0.522775	0.208077	9.80783
4185731	-0.431965	0.234303	9.89827
4185741	-0.287751	0.22946	9.89259
4185751	-0.299438	0.247274	9.84381
4185761	-0.461967	0.22788	9.83473
4185771	-0.519068	0.232409	9.82649
4185781	-0.442844	0.227919	9.83585
4185791	-0.438334	0.237583	9.84064
4185801	-0.469677	0.255604	9.80022
4185811	-0.434887	0.24297	9.86453
4185821	-0.389474	0.217778	9.99647
4185831	-0.39743	0.197958	9.96792
4185841	-0.446297	0.210442	9.89803
4185851	-0.502338	0.224013	9.87056
4185861	-0.511103	0.228395	9.85564
4185871	-0.512429	0.241096	9.79331
4185881	-0.565805	0.243913	9.71863
4185891	-0.570324	0.253314	9.71336
4185901	-0.536589	0.238959	9.71095
4185911	-0.497267	0.205183	9.69506
4185921	-0.482397	0.214501	9.68617
4185931	-0.474444	0.243852	9.71448
4185941	-0.479764	0.241529	9.80951
4185951	-0.528882	0.199146	9.83152
4185961	-0.57111	0.203459	9.81463
4185971	-0.604841	0.208281	9.81728
4185981	-0.597123	0.183112	9.76597
4185991	-0.592338	0.190446	9.68031
4186001	-0.637218	0.193771	9.62518
4186011	-0.636421	0.198172	9.61082
4186021	-0.583578	0.217221	9.60868
4186031	-0.556221	0.208358	9.63434
4186041	-0.566845	0.204061	9.65288
4186051	-0.56233	0.204192	9.65791
4186061	-0.572164	0.196972	9.74803
4186071	-0.605641	0.213413	9.8314
4186081	-0.614949	0.246636	9.82524
4186091	-0.612292	0.254948	9.77755
4186101	-0.57778	0.292659	9.75957
4186111	-0.574587	0.269569	9.78892
4186121	-0.588917	0.240941	9.78881
4186131	-0.564486	0.250278	9.78048
4186141	-0.553332	0.259098	9.75233
4186151	-0.566607	0.253812	9.73262
4186161	-0.572167	0.206505	9.74779
4186171	-0.529401	0.187647	9.75555
4186181	-0.533931	0.225648	9.74956
4186191	-0.537129	0.241413	9.80614
4186201	-0.476585	0.256572	9.8379
4186211	-0.479241	0.265119	9.79942
4186221	-0.454789	0.222024	9.79242
4186231	-0.409099	0.206589	9.74786
4186241	-0.429829	0.235882	9.77448
4186251	-0.436485	0.270094	9.80657
4186261	-0.431169	0.260326	9.79761
4186271	-0.618653	0.234396	9.72052
4186281	-0.731503	0.207267	9.59546
4186291	-0.516125	0.231412	9.60277
4186301	-0.470739	0.294573	9.64672
4186311	-0.607499	0.243215	9.69237
4186321	-0.702031	0.19231	9.75479
4186331	-0.772689	0.225042	9.73075
4186341	-0.794998	0.233794	9.70062
4186351	-0.771089	0.214777	9.70251
4186361	-0.727259	0.195431	9.69129
4186371	-0.709196	0.186425	9.71164
4186381	-0.710533	0.201336	9.73501
4186391	-0.676285	0.234403	9.72189
4186401	-0.610422	0.235026	9.74481
4186411	-0.601124	0.225636	9.75036
4186421	-0.589967	0.224921	9.72245
4186431	-0.549304	0.1667	9.68345
4186441	-0.555674	0.148357	9.71212
4186451	-0.579872	0.203073	9.79983
4186461	-0.591043	0.237152	9.82689
4186471	-0.578824	0.219092	9.86618
4186481	-0.584648	0.171906	9.8861
4186491	-0.578268	0.16165	9.85815
4186501	-0.589697	0.176785	9.89044
4186511	-0.599532	0.195954	9.89414
4186521	-0.588104	0.185585	9.86172
4186531	-0.572435	0.194535	9.8386
4186541	-0.565263	0.198214	9.79605
4186551	-0.632972	0.160313	9.80732
4186561	-0.655284	0.152206	9.86338
4186571	-0.649181	0.175438	9.83933
4186581	-0.652107	0.193639	9.80534
4186591	-0.62556	0.208975	9.84463
4186601	-0.602196	0.223567	9.85517
4186611	0.142919	0.492243	9.90176
4186621	-0.285935	0.347768	9.85635
4186631	-0.820406	0.0320759	9.64708
4186641	-0.250328	0.287102	9.90763
4186651	-0.56794	0.259191	9.75623
4186661	-0.691875	0.0780373	9.57725
4186671	-0.626589	0.145289	9.77949
4186681	-0.660339	0.214632	9.69475
4186691	-0.646791	0.200728	9.71019
4186701	-0.678121	0.190148	9.6705
4186711	-0.706812	0.209158	9.66833
4186721	-0.805088	0.224486	9.70979
4186731	-0.969477	0.201181	9.73405
4186741	-0.977178	0.188216	9.78634
4186751	-0.745869	0.225957	9.76565
4186761	-0.595018	0.239333	9.72655
4186771	-0.490112	0.2349	9.73761
4186781	-0.378301	0.239034	9.71074
4186791	-0.417349	0.253623	9.72236
4186801	-0.504467	0.268238	9.73592
4186811	-0.57086	0.263092	9.72261
4186821	-0.556513	0.248821	9.72382
4186831	-0.591035	0.234942	9.74119
4186841	-0.610418	0.225493	9.74506
4186851	-0.529413	0.216247	9.75482
4186861	-0.500473	0.240015	9.75116
4186871	-0.470988	0.230173	9.73885
4186881	-0.417873	0.234801	9.73234
4186891	-0.499682	0.258715	9.73644
4186901	-0.578553	0.231061	9.77538
4186911	-0.533933	0.230414	9.74943
4186921	-0.502608	0.276916	9.70246
4186931	-0.535001	0.240436	9.76817
4186941	-0.601943	0.278434	9.76327
4186951	-0.557055	0.272899	9.7327
4186961	-0.509755	0.206508	9.7467
4186971	-0.538727	0.263771	9.74831
4186981	-0.561576	0.27021	9.8135
4186991	-0.589726	0.269907	9.80232
4187001	-0.568474	0.264201	9.7656
4187011	-0.567392	0.220814	9.74771
4187021	-0.682891	0.166306	9.67083
4187031	-0.622128	0.252493	9.86755
4187041	-0.512986	0.281682	9.88753
4187051	-0.575621	0.215417	9.72354
4187061	-0.574032	0.212127	9.78089
4187071	-0.555443	0.234033	9.7052
4187081	-0.538715	0.256795	9.66273
4187091	-0.554126	0.266788	9.68062
4187101	-0.559449	0.295622	9.68911
4187111	-0.544053	0.297371	9.75667
4187121	-0.560247	0.274365	9.78965
4187131	-0.555451	0.236242	9.7909
4187141	-0.508443	0.231938	9.80807
4187151	-0.504468	0.251381	9.8221
4187161	-0.554131	0.237841	9.85287
4187171	-0.57617	0.236937	9.81824
4187181	-0.597134	0.206945	9.76536
4187191	-0.607227	0.20717	9.77429
4187201	-0.576976	0.256369	9.832
4187211	-0.537399	0.251069	9.81064
4187221	-0.535261	0.226258	9.77328
4187231	-0.521176	0.202579	9.77948
4187241	-0.524616	0.178124	9.75607
4187251	-0.538697	0.192272	9.75012
4187261	-0.538708	0.216105	9.74952
4187271	-0.548266	0.21132	9.74907
4187281	-0.567372	0.173148	9.74892
4187291	-0.644656	0.168593	9.75877
4187301	-0.665118	0.192999	9.78077
4187311	-0.585983	0.203674	9.82328
4187321	-0.486137	0.23272	9.83795
4187331	-0.47631	0.232617	9.83376
4187341	-0.475247	0.236896	9.81466
4187351	-0.425056	0.254957	9.77428
4187361	-0.463819	0.22176	9.78237
4187371	-0.502318	0.197972	9.78547
4187380	-0.497268	0.188326	9.78125
4187390	-0.454241	0.183647	9.7839
4187400	-0.423696	0.182848	9.75237
4187410	-0.400596	0.192797	9.76777
4187420	-0.379104	0.232078	9.81092
4187430	-0.377521	0.26471	9.7816
4187440	-0.411491	0.202923	9.79069
4187450	-0.672572	0.244434	9.74091
4187460	-0.640167	0.230691	9.76223
4187470	-0.387256	0.0360193	9.79159
4187480	-0.410368	0.0762939	9.68916
4187490	-0.525676	0.185936	9.68911
4187500	-0.669874	0.152648	9.69576
4187510	-0.642516	0.139017	9.72154
4187520	-0.613843	0.162908	9.72262
4187530	-0.648895	0.144507	9.74961
4187540	-0.661653	0.155488	9.80575
4187550	-0.68582	0.150795	9.80921
