Timestamp(ms E-10)	gyro_X	gyro_Y	gyro_Z	
4185354	0.00971389	-0.0467769	-0.0320898
4185364	0.148409	-0.158507	-0.217099
4185374	0.18528	-0.160635	-0.260686
4185384	0.0942056	-0.0510395	-0.119684
4185394	0.0152059	0.0325416	-0.000747204
4185404	-0.00603521	0.0535004	0.0315619
4185414	0.00225759	0.0478687	0.0183419
4185424	0.0085324	0.0474836	0.00273311
4185434	0.00864959	0.055916	0.000390291
4185444	0.00946033	0.0676905	0.00440109
4185454	0.0135431	0.0752022	0.00765145
4185464	0.0146102	0.0773256	0.00766075
4185474	0.0114641	0.0794142	0.00635207
4185484	0.010391	0.0847154	0.0061512
4185494	0.0103866	0.0900186	0.00601435
4185504	0.011575	0.095271	0.00381756
4185514	0.0128869	0.101531	-0.000530243
4185524	0.01319	0.109885	-0.00605881
4185534	0.0137435	0.116011	-0.0157802
4185544	0.0122215	0.122107	-0.0266918
4185554	0.00856078	0.12926	-0.0377587
4185564	0.00678766	0.138643	-0.0445046
4185574	0.00489497	0.142776	-0.0489898
4185584	0.00181091	0.144838	-0.0513605
4185594	0.000804305	0.14481	-0.0524864
4185604	0.000865579	0.145844	-0.0535758
4185614	0.00294447	0.141632	-0.0522764
4185624	0.0139045	0.11291	-0.0551447
4185634	0.0337498	0.070735	-0.044338
4185644	0.0371124	0.0488654	-0.0275784
4185654	0.0257384	0.0533775	-0.0166471
4185664	0.0150399	0.0660845	-0.0176158
4185674	0.014459	0.0764776	-0.0264488
4185684	0.0163896	0.0845958	-0.0414708
4185694	0.0152417	0.0884123	-0.0586989
4185704	0.0159848	0.0902171	-0.0714967
4185714	0.0196248	0.0910994	-0.0787655
4185724	0.0207583	0.0878932	-0.0796813
4185734	0.0162367	0.0858692	-0.075635
4185744	0.0147352	0.0839305	-0.0682108
4185754	0.0153738	0.0788139	-0.0605766
4185764	0.0162617	0.0725312	-0.0571624
4185774	0.0140656	0.068311	-0.0561191
4185784	0.0128762	0.0641191	-0.0539498
4185794	0.0116255	0.058893	-0.0506914
4185804	0.00911999	0.053744	-0.044311
4185814	0.0088743	0.0506674	-0.0399812
4185824	0.00988376	0.047514	-0.0387733
4185834	0.0108318	0.0433263	-0.0364758
4185844	0.0115938	0.0392177	-0.0309926
4185854	0.0144943	0.0340524	-0.0253541
4185864	0.0142494	0.0299153	-0.020997
4185874	0.0108604	0.0257459	-0.0178939
4185884	0.00985622	0.0225353	-0.0189378
4185894	0.00891435	0.0192988	-0.0210435
4185904	0.00879288	0.0161695	-0.0188377
4185914	0.00861013	0.0120062	-0.0155424
4185924	0.00836539	0.00786912	-0.0111852
